Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:24 AM",Distributed DoS,20.16.12.158,55290,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:39 AM",Distributed DoS,141.46.144.216,25954,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:28 AM",Distributed DoS,247.134.97.167,64027,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:14 AM",Distributed DoS,62.176.137.78,50151,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:33 AM",Distributed DoS,250.108.177.139,17348,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:35 AM",Distributed DoS,128.89.245.84,41623,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:22 AM",Distributed DoS,4.230.47.254,49020,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:09 AM",Distributed DoS,51.79.21.124,62529,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:35:04 AM",Distributed DoS,41.87.16.192,63131,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:42 AM",Distributed DoS,208.63.66.199,62391,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:03 AM",Distributed DoS,24.11.100.23,33582,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:04 AM",Distributed DoS,165.101.153.183,29372,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:04 AM",Distributed DoS,154.247.234.211,6224,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:05 AM",Distributed DoS,107.104.222.63,2987,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:22 AM",Distributed DoS,136.109.217.108,49915,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:11 AM",Distributed DoS,87.78.70.150,44617,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:26 AM",Distributed DoS,216.57.213.147,62254,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:04 AM",Distributed DoS,153.22.25.158,15564,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:28 AM",Distributed DoS,218.151.49.182,56358,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:45 AM",Distributed DoS,255.138.209.67,60415,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:15 AM",Distributed DoS,211.136.164.184,54520,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:16 AM",Distributed DoS,198.155.106.199,52144,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:44 AM",Distributed DoS,109.24.196.57,53867,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:23 AM",Distributed DoS,110.192.45.157,16852,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:27 AM",Distributed DoS,78.9.117.205,57816,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:22 AM",Distributed DoS,213.40.139.170,32257,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:18 AM",Distributed DoS,98.184.163.12,16565,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:31 AM",Distributed DoS,147.220.213.20,25920,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:13 AM",Distributed DoS,47.231.125.13,59098,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:44 AM",Distributed DoS,171.92.50.147,50250,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:34 AM",Distributed DoS,126.61.41.136,61605,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:17 AM",Distributed DoS,250.51.52.140,10496,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:04 AM",Distributed DoS,4.113.85.138,32219,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:30 AM",Distributed DoS,108.29.164.5,9735,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:04 AM",Distributed DoS,169.194.75.224,31900,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:23 AM",Distributed DoS,59.146.241.27,6446,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:05 AM",Distributed DoS,120.127.41.155,50489,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:44 AM",Distributed DoS,19.3.211.105,57401,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:03 AM",Distributed DoS,88.144.253.50,62669,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:12 AM",Distributed DoS,115.85.150.246 ,11526,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:23 AM",Distributed DoS,14.170.32.143,7212,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:35 AM",Distributed DoS,188.100.235.162,57217,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:34 AM",Distributed DoS,38.93.155.107,1541,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:12 AM",Distributed DoS,7.89.130.136,45424,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:19 AM",Distributed DoS,14.95.150.211,3951,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:08 AM",Distributed DoS,119.47.38.243,31080,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:10 AM",Distributed DoS,9.208.113.246,15974,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:18 AM",Distributed DoS,184.0.94.14,55747,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:47 AM",Distributed DoS,11.200.148.171,18220,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:42 AM",Distributed DoS,208.63.66.199,62391,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:03 AM",Distributed DoS,24.11.100.23,33582,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:04 AM",Distributed DoS,165.101.153.183,29372,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:04 AM",Distributed DoS,154.247.234.211,6224,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:05 AM",Distributed DoS,107.104.222.63,2987,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:22 AM",Distributed DoS,136.109.217.108,49915,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:11 AM",Distributed DoS,87.78.70.150,44617,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:26 AM",Distributed DoS,216.57.213.147,62254,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:04 AM",Distributed DoS,153.22.25.158,15564,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:28 AM",Distributed DoS,218.151.49.182,56358,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:45 AM",Distributed DoS,255.138.209.67,60415,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:15 AM",Distributed DoS,211.136.164.184,54520,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:16 AM",Distributed DoS,198.155.106.199,52144,192.168.142.142
Terdeteksi DDoS Attack,Custom Rule Engine-8 :: qradar,1,"May 14, 2024, 11:38:44 AM",Distributed DoS,109.24.196.57,53867,192.168.142.142
