Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination,Category
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:11 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:12 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:13 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:14 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:15 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:16 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:17 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:18 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:19 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:20 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:21 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:22 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:23 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:24 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:25 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:26 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:27 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:28 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:29 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:30 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:31 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:32 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:33 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:34 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:35 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:36 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:37 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:38 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:39 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:40 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:41 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:42 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:43 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:44 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:45 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:46 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:47 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:48 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:49 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:50 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:51 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:52 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:53 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:54 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:55 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:56 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:33:57 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:01 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:02 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:03 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:04 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:05 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) start,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:06 AM",Service Started,192.168.142.140,0,192.168.142.140,Normal
Service (daemon) stop,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:07 AM",Service Stopped,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:08 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
Linux login messages,LinuxServer @vmcentosTA,1,"May 14, 2024, 11:34:09 AM",Stored,192.168.142.140,0,192.168.142.140,Normal
